cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
AGUA02500;Rio Aguapeí ou Feio;Ponte na rodovia SP-541, que liga Valparaíso - Adamantina, na régua do DAEE: 8C-004.;2014-01-01;NA;ADAMANTINA;2333;20;3500105;Adamantina
AGUA02010;Rio Aguapeí ou Feio;Ponte na Rodovia que liga Marília a Guarantã.;2001-01-01;NA;GUARANTA;559;20;3518107;Guarantã
AGUA02800;Rio Aguapeí ou Feio;Ponte que liga Tupi Paulista a Andradina.;1974-10-01;NA;JUNQUEIROPOLIS;194;20;3526001;Junqueirópolis
BESP04900;Córrego da Boa Esperança;Ponte a cerca  de 1 km da foz do Córrego da Boa Esperança com o Ribeirão Aguapeí-Mirim.;2016-01-01;NA;LUCELIA;2368;20;3527405;Lucélia
ANOR02300;Córrego da Água Norte;No Represamento do Manancial de Captação de Marília;2006-03-01;2016-12-31;MARILIA;1247;20;3529005;Marília
TBIR03300;Rio Tibiriçá;Ponte na Rodovia BR-153, no trecho que liga Marília a São José do Rio Preto.;2001-01-01;NA;MARILIA;557;20;3529005;Marília
CASC02050;Reservatório Cascata;Reservatório Cascata, Manancial de captação  de Marília, no  Bairro Maria Isabel;2001-01-01;NA;MARILIA;560;20;3529005;Marília
RECA02900;Ribeirão das Marrecas;Ponte na entrada da cidade na Rodovia Comandante João Ribeiro de Barros.;2015-01-01;NA;PANORAMA;2256;20;3535408;Panorama
PARN02400;Rio Paraná;Rio Paraná - Próximo a ponte que liga Paulicéia a Brasilândia/MS;2016-10-01;NA;PAULICEIA;2612;20;3536406;Paulicéia
AGUA02200;Rio Aguapeí ou Feio;Ponte na rodovia SP 461, na divisa de  Rinópolis / Piacatu.;2019-12-01;NA;PIACATU;3360;20;3537701;Piacatu
TBIR02700;Rio Tibiriçá;Ponte na rodovia que liga Getulina a Queiroz, junto a régua do DAEE 7C-012.;1979-03-01;2000-12-31;QUEIRÓS;195;20;3541802;Queiroz
AGUA02100;Rio Aguapeí ou Feio;Ponte na SP-425 que liga Parapuã a Penápolis;1979-01-01;NA;SANTOPOLIS DO AGUAPEI;193;20;3548401;Santópolis Do Aguapeí
IACR03750;Rio Iacri;A jusante da entrada do Rio Afonso XIII. Ponte na estrada de terra para a aldeia dos índios.;2014-01-01;NA;TUPA;2335;20;3555000;Tupã
PEIX02400;Rio do Peixe-UGRHI 21;Ponte na Rod. Brigadeiro Eduardo Gomes na divisa Bastos/Rancharia.;2014-01-01;NA;BASTOS;2332;21;3505807;Bastos
